CustomerID;Age;MonthlyIncome;TotalDebt;CreditLimit;PaymentHistory;NumberOfCreditCards;YearsWithCompany;AverageMonthlyBalance;CreditStatus
47;56;3064;1700;14733;On Time;2;1;699;Bad
48;35;4785;10444;17137;On Time;2;12;2707;Good
49;21;6644;22179;14720;On Time;5;18;3756;Bad
50;42;1713;3324;18064;On Time;1;2;1486;Bad
51;31;7301;9572;21967;On Time;5;18;1647;Good
52;67;6683;19708;15687;On Time;1;10;3313;Bad
53;26;4310;15520;18909;On Time;4;10;343;Bad
54;43;5815;7433;22276;On Time;2;6;2928;Good
55;19;5004;11030;21785;On Time;3;2;2505;Good
56;37;6844;9989;13073;On Time;5;16;4438;Good
57;45;6474;6259;20182;On Time;4;5;4595;Good
58;64;2899;9628;16243;On Time;2;6;3326;Bad
59;24;5880;8600;20586;On Time;4;1;2293;Good
60;61;4691;10563;17843;On Time;3;4;3075;Good
61;25;5124;6258;16378;On Time;1;17;3871;Good
62;64;3907;3616;17169;On Time;1;13;3695;Bad
63;52;7622;9793;16276;Late;4;12;638;Bad
64;31;6560;18575;16471;On Time;4;13;1523;Bad
65;34;3890;10411;14205;On Time;5;19;3748;Bad
66;53;2998;8342;13741;On Time;4;16;1711;Bad
67;67;4421;13770;23815;On Time;1;11;3331;Good
68;57;5651;9208;17387;On Time;4;18;3811;Good
69;21;5360;19340;12133;On Time;2;18;3591;Bad
70;19;6879;9980;13612;On Time;2;1;3475;Good
71;23;6184;13502;20281;On Time;1;4;2504;Good
72;59;6454;6226;11319;On Time;4;9;1613;Good
73;21;5490;12515;7589;On Time;4;3;4790;Good
74;46;2916;11375;7957;On Time;4;8;1053;Bad
75;35;4706;9717;6355;On Time;2;9;3111;Good
76;43;6590;7491;8505;On Time;1;18;2428;Good
77;61;4922;6809;9095;On Time;5;5;4320;Good
78;51;5754;11411;21926;On Time;2;5;3027;Good
79;27;4521;13144;14769;On Time;1;5;2119;Good
80;53;3455;9364;13183;Late;1;16;2523;Bad
81;31;4814;11436;7782;On Time;5;5;3881;Good
82;48;5463;9810;14284;On Time;3;5;4061;Good
83;65;4016;10492;6313;On Time;5;12;3641;Good
84;32;4646;8997;13152;On Time;5;7;3101;Good
85;25;3590;10089;25322;On Time;1;3;2022;Bad
86;31;6678;23490;18319;On Time;3;8;2263;Bad
87;40;4558;11558;13951;On Time;3;18;3454;Good
88;57;7179;13226;18490;On Time;4;5;4008;Good
89;38;7293;12190;12392;On Time;5;6;1510;Good
90;33;4878;8685;10996;Late;5;6;1285;Bad
91;62;3487;16469;23520;On Time;3;6;2785;Bad
92;35;1871;8544;9288;On Time;3;11;3224;Bad
93;64;2791;15275;13229;On Time;3;13;3158;Bad
94;41;2939;8328;16530;On Time;1;14;3527;Bad
95;43;7067;5200;10318;On Time;1;17;2456;Good
96;42;5173;11826;18253;On Time;1;1;4227;Good
97;62;5584;4476;13467;On Time;5;10;4506;Good
98;58;1669;12678;18319;On Time;3;2;3523;Bad
99;46;3203;4029;17929;On Time;1;13;2479;Bad
100;32;6330;8404;13784;On Time;4;17;201;Good
101;62;5430;2841;23553;On Time;3;19;2324;Good
102;18;4779;24120;11673;On Time;3;3;3127;Bad
103;42;5847;1730;21744;Late;3;4;3629;Bad
104;24;7453;10049;20874;On Time;1;6;2637;Good
105;26;4668;15716;23854;On Time;2;13;2884;Bad
106;41;5104;15181;15870;On Time;4;14;4681;Bad
107;18;5288;14256;11057;On Time;4;9;1892;Good
108;61;8588;8413;25383;On Time;2;15;1324;Good
109;25;1850;16755;13326;On Time;4;6;594;Bad
110;41;6024;14566;10932;On Time;1;11;3946;Good
111;28;4827;11061;14051;On Time;3;7;1652;Good
112;68;5850;11202;10091;On Time;2;18;2638;Good
113;34;4013;8480;17630;On Time;3;17;3810;Good
114;25;4926;5451;11971;On Time;4;14;4537;Good
115;52;6067;16185;13562;Late;5;8;3041;Bad
116;52;9669;16561;19838;On Time;4;8;1986;Bad
117;50;6212;5579;18118;Late;4;7;3339;Bad
118;22;3727;9231;15077;Late;2;9;1931;Bad
119;59;4364;9282;15854;Late;3;12;2921;Bad
120;56;4319;9836;15061;On Time;2;3;1593;Good
121;58;2306;10321;12844;On Time;1;1;2154;Bad
122;45;4504;14734;14987;On Time;3;15;5242;Good
123;24;6099;6263;17454;On Time;1;9;4067;Good
124;26;3088;5768;14369;On Time;1;17;2319;Bad
125;25;6572;16183;17098;On Time;2;12;2552;Bad
126;29;5731;7686;10816;On Time;4;17;3715;Good
127;51;3898;3684;11980;On Time;5;13;2581;Bad
128;50;4787;7574;11328;On Time;4;13;4211;Good
129;65;7397;8349;12174;On Time;4;15;1424;Good
130;40;6100;17774;21435;On Time;3;18;2927;Bad
131;41;5013;14624;18630;On Time;2;15;2194;Good
132;54;4643;15737;9615;On Time;3;18;3253;Bad
133;52;5114;14099;17187;On Time;5;5;3117;Good
134;61;4232;14731;13047;On Time;2;7;3021;Good
135;57;1842;6559;11588;On Time;4;6;3423;Bad
136;39;8063;9006;7571;On Time;1;5;3271;Good
137;44;5232;5050;19859;On Time;4;19;1857;Good
138;52;5597;8947;8180;Late;4;9;2885;Bad
139;18;4913;13420;14740;On Time;2;11;2888;Good
140;52;3897;10672;10268;On Time;4;3;2947;Bad
141;54;4721;16557;18879;On Time;5;7;5196;Bad
142;64;2600;4292;13328;On Time;4;3;3026;Bad
143;31;8415;12501;14327;On Time;1;6;4636;Good
144;20;3148;3758;14496;On Time;2;19;1045;Bad
145;18;3452;10470;16512;On Time;5;16;2412;Bad
146;22;4339;13701;15065;On Time;2;8;2745;Good
147;43;6932;8927;14783;On Time;1;19;4540;Good
148;31;5021;12755;12407;On Time;3;19;808;Good
149;56;3145;5201;7126;On Time;5;16;3968;Bad
150;44;6881;1681;9407;On Time;1;8;3533;Good
151;26;6096;12785;18592;On Time;3;10;3536;Good
152;32;5807;18720;13470;On Time;1;9;2794;Bad
153;32;6073;5019;11679;On Time;3;16;3154;Good
154;43;8591;16110;7971;On Time;3;14;2947;Bad
155;59;8277;10217;6401;On Time;2;10;2318;Good
156;30;3969;3321;11483;On Time;4;4;3898;Bad
157;68;7435;4342;19440;On Time;4;10;3079;Good
158;49;5574;10078;12214;On Time;1;15;2213;Good
159;56;5748;7977;17002;On Time;3;19;3409;Good
160;66;2461;3435;11984;On Time;4;11;2788;Bad
161;69;4744;1529;18194;On Time;1;14;2551;Good
162;49;3780;5766;13241;On Time;1;15;1302;Bad
163;21;6242;10969;8840;On Time;5;4;2475;Good
164;47;6606;9967;13655;On Time;2;17;2425;Good
165;54;1888;7493;24170;On Time;2;1;3303;Bad
166;40;4966;11009;23949;On Time;3;19;2615;Good
167;56;6682;15200;17432;On Time;4;5;5683;Bad
168;62;4719;11970;14314;Late;3;18;1464;Bad
169;32;6093;9393;16519;On Time;4;17;1753;Good
170;60;5526;14640;16584;On Time;4;10;2459;Good
171;46;5512;5200;14800;On Time;4;9;3364;Good
172;53;4593;8875;17204;On Time;4;4;2672;Good
173;30;3175;8994;16041;On Time;4;19;2387;Bad
174;49;3317;3815;13420;On Time;5;3;1804;Bad
175;24;6064;7900;9023;Late;5;18;3428;Bad
176;68;5029;0;12699;On Time;4;3;5734;Good
177;39;4792;19560;18997;On Time;1;8;1940;Bad
178;45;4364;5312;14842;On Time;1;5;3574;Good
179;19;4542;17930;16501;On Time;2;1;4569;Bad
180;59;6570;10190;13584;On Time;4;18;3140;Good
181;62;4497;12824;9702;On Time;1;14;3338;Good
182;23;2988;7556;13806;On Time;2;7;2919;Bad
183;45;6115;11039;9887;On Time;1;9;4789;Good
184;45;4692;13252;9568;On Time;2;14;3798;Good
185;61;5047;13322;21028;Late;3;16;4138;Bad
186;61;7411;13873;12899;On Time;1;16;2869;Good
187;37;4969;8158;11292;On Time;4;6;3679;Good
188;47;5433;7598;23089;On Time;4;7;2925;Good
189;28;3231;2029;19074;On Time;5;1;3771;Bad
190;45;4670;12616;13142;On Time;3;11;2593;Good
191;42;5914;15411;17138;On Time;3;9;4168;Bad
192;56;2666;18079;13821;On Time;1;1;3544;Bad
193;50;5301;11525;11536;Late;2;18;2541;Bad
194;18;5151;6167;17373;On Time;5;10;3875;Good
195;44;5061;1514;13378;On Time;3;13;2684;Good
196;69;6555;15208;15377;On Time;3;5;1765;Bad
197;30;5501;1018;20106;On Time;4;8;2719;Good
198;58;7217;8296;19556;On Time;4;13;2728;Good
199;20;3509;8878;12249;On Time;2;16;1842;Bad
200;56;5203;9652;17430;On Time;1;7;3499;Good
201;23;5126;10179;9360;On Time;2;8;3421;Good
202;25;3396;10690;17252;On Time;1;18;2984;Bad
203;44;6434;0;15742;On Time;5;9;3817;Good
204;26;8487;10073;16894;On Time;3;11;2634;Good
205;54;4974;0;13512;On Time;2;17;1512;Good
206;50;5757;13661;25420;On Time;1;14;2350;Good
207;68;5126;7224;10493;On Time;5;2;2168;Good
208;59;3929;0;19857;On Time;2;15;2634;Bad
209;61;2268;5928;9841;Late;3;18;3101;Bad
210;41;3941;7149;17521;On Time;5;5;5023;Bad
211;32;2912;15953;17878;On Time;4;1;1463;Bad
212;49;7556;10983;15274;On Time;3;16;3888;Good
213;49;4827;11722;12523;On Time;4;12;1996;Good
214;41;4481;15906;15705;On Time;5;14;3458;Bad
215;58;6333;9519;16335;Late;5;17;2363;Bad
216;69;3317;13770;23949;On Time;4;1;3231;Bad
217;66;3849;13419;10638;On Time;1;14;4631;Bad
218;66;5102;3567;12220;On Time;5;15;1517;Good
219;69;6543;17364;16423;On Time;2;12;3310;Bad
220;29;5752;2898;13719;On Time;2;17;3352;Good
221;56;5372;14586;14499;On Time;5;9;4023;Good
222;19;5117;2414;20351;On Time;4;3;3071;Good
223;20;5600;13006;5000;On Time;4;12;6443;Good
224;66;5302;19309;12010;On Time;3;13;4184;Bad
225;54;3455;8935;6288;On Time;4;2;3631;Bad
226;66;5069;8718;9020;On Time;1;15;3368;Good
227;34;3389;13052;27023;On Time;1;2;3592;Bad
228;66;5121;8353;17990;On Time;2;5;3136;Good
229;19;4279;19091;19757;On Time;5;9;3144;Bad
230;19;8809;10960;14597;On Time;2;14;1482;Good
231;45;4940;8399;18793;Late;5;13;3585;Bad
232;40;2893;7298;6167;On Time;2;4;3574;Bad
233;54;4798;5335;20191;On Time;5;8;3354;Good
234;49;5779;6861;10900;On Time;5;7;3379;Good
235;50;7510;8246;12343;On Time;2;17;3760;Good
236;18;4115;7561;17525;On Time;3;6;3461;Good
237;36;2626;6709;16582;On Time;1;8;3087;Bad
238;19;6225;20494;15423;On Time;4;8;3330;Bad
239;61;2929;4849;8184;Late;1;13;4230;Bad
240;43;4345;10733;15499;On Time;4;8;4467;Good
241;49;4613;12962;19802;On Time;5;5;2016;Good
242;23;4895;13150;12337;On Time;2;9;2607;Good
243;49;6033;9706;21574;On Time;2;2;3952;Good
244;21;3974;8796;10636;On Time;4;3;3559;Bad
245;28;4589;12257;15032;Late;2;4;2363;Bad
246;34;4978;11332;22676;On Time;2;19;3063;Good
247;55;5224;8705;11593;On Time;2;7;3787;Good
248;41;5146;2190;20269;On Time;1;9;4918;Good
249;22;5654;7660;24873;On Time;2;6;5353;Good
250;69;6265;4267;15855;On Time;3;3;1183;Good
251;51;5588;6664;12364;On Time;4;14;3851;Good
252;23;5680;10166;11136;On Time;1;13;2374;Good
253;39;2626;11793;21523;On Time;1;13;4153;Bad
254;28;5075;18902;21383;Late;5;1;1629;Bad
255;65;5719;7312;22246;On Time;5;15;2316;Good
256;33;6093;13873;14835;On Time;2;5;2825;Good
257;50;3961;11529;20189;On Time;1;2;3670;Bad
258;26;4011;16479;14755;Late;1;5;2629;Bad
259;23;4138;12881;10584;On Time;2;17;2271;Good
260;33;5804;4957;20620;On Time;4;1;1290;Good
261;46;6550;1384;23169;On Time;1;4;2335;Good
262;20;4388;11556;9896;On Time;5;15;3676;Good
263;37;6361;7357;9802;On Time;2;15;4488;Good
264;53;5185;5098;15199;On Time;1;16;1957;Good
265;36;4813;3662;19780;On Time;5;13;2050;Good
266;43;4682;10804;9330;On Time;3;14;2263;Good
267;20;6119;17538;16135;On Time;1;2;2882;Bad
268;36;5488;7956;12047;On Time;2;10;3193;Good
269;37;8413;12951;18504;On Time;5;5;2693;Good
270;49;3721;9488;11010;On Time;1;3;1419;Bad
271;24;5777;3553;18859;On Time;5;11;968;Good
272;69;4206;13674;14208;On Time;2;13;2506;Good
273;58;3696;4526;10314;On Time;1;2;3532;Bad
274;50;4983;10108;15318;On Time;2;7;3006;Good
275;57;5206;8292;5310;On Time;4;3;4683;Good
276;56;9377;14465;12204;On Time;1;13;1481;Good
277;35;4723;4709;16687;On Time;1;6;3102;Good
278;57;3304;11954;6141;On Time;5;9;4394;Bad
279;18;5409;5801;5000;Late;1;2;2701;Bad
280;28;1888;7444;5000;On Time;4;12;1722;Bad
281;45;4862;0;21635;On Time;5;15;295;Good
282;42;5024;20460;14616;On Time;5;16;2681;Bad
283;67;6191;12752;12337;On Time;3;3;2487;Good
284;40;6460;6163;19725;Late;1;14;2350;Bad
285;48;4244;4376;12977;On Time;3;1;3299;Good
286;47;4774;7521;16342;On Time;4;16;4815;Good
287;59;3850;13584;15128;On Time;1;6;1626;Bad
288;52;3307;539;12645;On Time;3;15;2039;Bad
289;24;5464;9292;16470;On Time;3;15;2852;Good
290;33;3089;18853;18866;On Time;5;3;3720;Bad
291;43;4378;4330;14075;On Time;3;4;2615;Good
292;65;3507;10401;12697;On Time;3;17;3583;Bad
293;69;5824;21016;13287;On Time;1;13;1560;Bad
294;66;7702;13160;5000;On Time;1;2;3047;Good
295;19;3047;10629;16415;On Time;5;1;2986;Bad
296;18;2220;12533;8954;On Time;1;6;4568;Bad
297;65;4812;7995;18148;Late;4;5;4134;Bad
298;29;5023;16498;14547;On Time;5;6;3114;Bad
299;22;5327;8003;15525;On Time;4;18;2049;Good
300;54;4330;204;18501;On Time;1;1;666;Good
301;49;4699;8043;10367;On Time;1;13;2114;Good
302;26;5551;5166;16846;On Time;5;6;5186;Good
303;58;6560;8594;16338;On Time;3;12;1187;Good
304;52;2067;8704;14076;On Time;2;10;2086;Bad
305;36;4446;15987;10359;On Time;2;19;3127;Bad
306;65;5320;13476;17976;On Time;1;3;4265;Good
307;33;3623;11316;18517;Late;4;15;1721;Bad
308;20;7596;9985;15568;On Time;5;14;3464;Good
309;37;4046;4705;9648;On Time;3;4;2213;Good
310;41;4938;0;12362;Late;1;7;1781;Bad
311;50;5834;10565;14698;On Time;4;10;2404;Good
312;41;4113;13973;18442;Late;1;14;2954;Bad
313;69;2230;9458;7082;On Time;2;2;1730;Bad
314;28;4357;7325;12180;On Time;1;1;4115;Good
315;66;6544;12322;12986;On Time;4;16;4449;Good
316;25;4494;9583;14583;Late;2;16;2289;Bad
317;53;3730;18428;8493;On Time;1;13;3778;Bad
318;55;6388;16163;13912;On Time;2;1;1472;Bad
319;57;4503;14797;13447;On Time;5;6;2815;Good
320;37;4234;13788;9812;Late;4;4;3837;Bad
321;52;5224;3549;14410;On Time;4;2;3717;Good
322;65;6156;13314;12294;On Time;5;7;3145;Good
323;42;8572;11881;17477;On Time;4;14;4199;Good
324;52;6240;13032;10573;On Time;4;1;2263;Good
325;42;6739;12463;15449;On Time;1;10;3087;Good
326;46;4241;12263;10958;On Time;3;6;3052;Good
327;35;3461;23504;12001;On Time;1;8;3420;Bad
328;63;5093;9619;16486;On Time;5;9;3605;Good
329;35;5160;14681;16173;On Time;5;11;1705;Good
330;19;3382;7645;12914;On Time;3;6;3682;Bad
331;52;4737;13953;13652;On Time;1;8;1794;Good
332;33;5598;14696;7731;On Time;1;16;3920;Good
333;58;5540;11822;22013;On Time;1;17;4751;Good
334;53;5756;18346;18437;On Time;2;7;2499;Bad
335;50;5436;5578;18257;On Time;2;8;2060;Good
336;21;4239;7563;7024;On Time;1;8;4662;Good
337;50;4229;11061;12022;On Time;2;10;2932;Good
338;31;3201;14404;13327;On Time;1;9;1654;Bad
339;38;7677;10897;5344;Late;5;19;2080;Bad
340;65;5020;16428;19449;On Time;1;10;2135;Bad
341;37;4662;6691;22269;On Time;2;17;4204;Good
342;25;3606;4297;25309;On Time;3;9;1988;Bad
343;24;9403;11540;9770;On Time;5;14;658;Good
344;20;3390;9614;15586;On Time;4;2;2949;Bad
345;34;4356;12714;21614;On Time;3;3;3295;Good
346;50;5623;9862;13731;On Time;3;9;3571;Good
347;65;5900;8299;12165;On Time;4;19;288;Good
348;29;6436;9625;5669;On Time;5;18;2815;Good
349;68;7711;10144;20663;On Time;4;18;2569;Good
350;39;5759;8475;14903;On Time;5;11;3419;Good
351;39;3415;8984;11353;On Time;5;9;1013;Bad
352;63;4614;7982;16419;On Time;5;12;3150;Good
353;47;5461;14283;15765;On Time;3;8;3181;Good
354;55;8102;10970;15841;On Time;5;18;4135;Good
355;55;2903;21283;13914;On Time;4;8;3353;Bad
356;62;6803;10803;23111;On Time;3;4;3695;Good
357;68;5269;7245;14331;On Time;5;6;1762;Good
358;25;6256;23353;23096;On Time;2;16;2892;Bad
359;44;4847;12068;17820;On Time;2;13;4301;Good
360;44;3736;14950;16755;On Time;5;16;2500;Bad
361;51;6126;12960;14433;On Time;2;18;3773;Good
362;38;5981;13115;19869;On Time;1;8;2030;Good
363;47;6458;12678;15564;On Time;3;1;2765;Good
364;50;4980;4489;10339;On Time;1;6;1376;Good
365;45;4100;11837;10172;On Time;3;18;2908;Good
366;64;2661;3375;17112;On Time;4;2;2152;Bad
367;50;6229;9128;10463;On Time;2;8;4139;Good
368;22;5635;6371;14688;On Time;2;6;5027;Good
369;65;3551;11787;20285;On Time;2;6;1267;Bad
370;36;4192;11670;16519;On Time;5;14;1756;Good
371;21;4299;12405;11389;On Time;3;3;3917;Good
372;52;2775;11436;22049;On Time;5;18;2228;Bad
373;66;3773;6965;17739;On Time;2;5;2909;Bad
374;34;3299;8694;20088;On Time;4;16;4505;Bad
375;61;4381;14601;5000;On Time;2;18;4533;Good
376;45;3891;15339;16654;On Time;5;9;1689;Bad
377;47;2559;4266;19210;On Time;2;1;4926;Bad
378;46;8033;2345;23501;On Time;1;11;3665;Good
379;63;6878;6365;7680;On Time;1;8;4000;Good
380;23;3831;15226;21030;On Time;5;8;2326;Bad
381;52;5408;16074;23221;On Time;1;13;2224;Bad
382;58;5626;5376;5000;Late;3;8;1252;Bad
383;54;6786;11536;17392;On Time;3;16;1750;Good
384;41;3772;19172;18088;On Time;5;18;3680;Bad
385;46;6638;12076;13364;On Time;1;9;3456;Good
386;66;4178;17107;12549;On Time;3;12;3784;Bad
387;63;2996;14993;18339;Late;1;3;3231;Bad
388;48;6086;5449;11925;On Time;2;1;2972;Good
389;52;6936;9050;13913;On Time;1;9;2293;Good
390;50;8881;10173;19062;On Time;1;8;2712;Good
391;69;3200;10520;23770;On Time;5;13;3893;Bad
392;38;6048;14581;17689;On Time;2;17;3811;Good
393;49;4385;12043;15667;On Time;3;7;3248;Good
394;40;6175;0;12418;On Time;3;15;2058;Good
395;50;2794;3435;9946;On Time;1;14;2514;Bad
396;20;3105;0;20547;On Time;4;16;1645;Bad
397;35;3836;10876;14232;On Time;4;17;2638;Bad
398;42;5118;11202;20753;Late;3;16;1326;Bad
399;59;4038;11416;13352;On Time;1;18;2659;Good
400;48;5988;5205;11753;On Time;1;14;2329;Good
401;20;6540;13370;17103;On Time;2;6;2985;Good
402;57;5899;13581;14617;On Time;5;15;2218;Good
403;63;7428;3724;8972;On Time;4;5;3730;Good
404;41;5623;2669;24086;On Time;1;17;1355;Good
405;67;3174;9999;11865;On Time;3;1;1404;Bad
406;49;7045;18958;19637;On Time;4;13;2728;Bad
407;64;4092;18498;19209;Late;5;7;3263;Bad
408;39;6365;12817;8702;On Time;1;19;2587;Good
409;40;7360;6350;9988;On Time;4;5;2672;Good
410;19;5685;14434;13492;On Time;1;9;3093;Good
411;44;2755;7737;10671;On Time;5;4;3496;Bad
412;59;3622;6162;23632;On Time;2;7;2572;Bad
413;19;6984;0;13999;On Time;4;13;3189;Good
414;43;4746;10511;19448;On Time;5;8;3983;Good
415;34;5119;6850;17568;Late;2;4;1631;Bad
416;57;6138;10482;16320;Late;2;8;4264;Bad
417;50;6044;0;15201;Late;5;16;4188;Bad
418;26;5418;10849;21185;On Time;3;13;2163;Good
419;60;4686;0;10874;On Time;5;10;3520;Good
420;65;4530;15439;23631;Late;1;14;1466;Bad
421;56;6286;12609;8563;On Time;3;10;3301;Good
422;46;5830;8606;18907;On Time;2;13;4364;Good
423;59;4614;12813;7974;On Time;4;8;1954;Good
424;43;6623;5109;13421;On Time;2;5;2241;Good
425;52;4806;10361;15466;On Time;4;19;3361;Good
426;67;3722;13973;12566;On Time;4;13;2653;Bad
427;42;3861;0;14091;On Time;5;2;3191;Bad
428;41;3531;7763;8065;On Time;5;16;5444;Bad
429;30;4591;9886;10062;On Time;2;14;2585;Good
430;24;6850;9018;17491;On Time;5;17;1432;Good
431;53;3792;17285;15148;On Time;2;3;2340;Bad
432;62;5282;4380;11547;On Time;5;16;3185;Good
433;37;4014;6894;21621;On Time;5;9;1720;Good
434;18;4609;420;8900;On Time;4;7;2315;Good
435;25;2734;17551;13192;On Time;3;2;4183;Bad
436;63;4669;8768;12471;On Time;5;11;4631;Good
437;33;4709;7807;18075;On Time;5;11;2605;Good
438;31;5810;9737;15240;On Time;2;14;2632;Good
439;29;5334;13181;14459;On Time;4;16;1773;Good
440;68;3202;11736;5778;Late;4;8;3253;Bad
441;40;6626;23239;19325;On Time;3;15;5390;Bad
442;32;5315;12269;13910;On Time;3;16;2631;Good
443;45;5297;7673;15578;Late;3;2;2666;Bad
444;51;4986;7193;11257;On Time;5;4;3496;Good
445;19;4223;8036;10470;On Time;2;1;2548;Good
446;49;5326;2490;22496;On Time;1;7;2565;Good
447;40;5713;10199;6133;On Time;2;11;4381;Good
448;39;2379;13917;9729;On Time;4;18;1707;Bad
449;68;4191;6933;22402;On Time;3;5;1917;Good
450;42;4617;5963;18203;On Time;1;5;3643;Good
451;39;5384;17579;13372;On Time;4;17;2850;Bad
452;39;6789;2867;21232;On Time;3;4;1924;Good
453;66;3842;0;17234;On Time;1;9;3290;Bad
454;69;4253;4235;16163;On Time;2;14;2666;Good
455;59;4231;2297;16127;On Time;4;9;3171;Good
456;23;3797;11931;17326;On Time;5;13;2717;Bad
457;32;4479;8196;17528;On Time;1;16;1520;Good
458;60;6156;8901;25979;On Time;1;13;4059;Good
459;54;3419;15764;14025;On Time;2;9;4692;Bad
460;50;5641;6543;14179;Late;2;12;2079;Bad
461;25;2447;13875;8815;On Time;4;12;4610;Bad
462;61;4157;17556;14740;On Time;5;10;2894;Bad
463;61;4505;7721;24314;On Time;3;2;0;Good
464;22;7512;13685;19922;On Time;1;5;3425;Good
465;56;4587;8790;12281;Late;1;11;798;Bad
466;21;1698;14620;15150;On Time;4;2;2511;Bad
467;23;2001;2142;8517;Late;3;10;3706;Bad
468;62;5051;1772;10154;On Time;3;8;3475;Good
469;49;5920;8043;15747;On Time;3;10;2279;Good
470;69;5563;5555;12527;Late;4;11;3627;Bad
471;47;5251;7416;9777;On Time;1;9;3901;Good
472;64;6743;8902;17449;On Time;2;7;2397;Good
473;52;4190;13600;14588;On Time;1;12;2658;Good
474;57;6342;7961;7162;On Time;2;7;3199;Good
475;69;2551;5880;5000;On Time;2;16;1842;Bad
476;33;3642;8242;12149;Late;4;19;2189;Bad
477;30;2289;6154;7058;On Time;3;16;3999;Bad
478;67;4587;5329;5655;On Time;4;15;5297;Good
479;59;4930;1934;20644;On Time;2;14;3607;Good
480;47;5171;10347;14511;Late;1;13;3264;Bad
481;36;5092;7156;13672;On Time;2;3;4829;Good
482;34;3608;14831;14057;On Time;4;13;2073;Bad
483;36;4714;2763;9310;On Time;1;7;3082;Good
484;45;2753;7289;17054;On Time;3;2;3828;Bad
485;43;7044;19064;14346;On Time;4;10;2169;Bad
486;54;4544;5301;11212;On Time;5;15;1360;Good
487;43;4266;8817;11961;On Time;2;3;3822;Good
488;40;7383;3920;8862;On Time;3;6;3952;Good
489;26;3136;3257;12968;On Time;3;14;3843;Bad
490;29;3311;17736;13801;On Time;1;4;3861;Bad
491;18;3355;10855;12838;On Time;4;15;3089;Bad
492;18;4898;10668;15275;On Time;2;5;3142;Good
493;64;5647;1518;14607;On Time;5;6;3229;Good
494;51;6109;11793;16153;On Time;2;19;4108;Good
495;49;8857;15787;19715;On Time;4;18;3279;Bad
496;65;1625;15747;17965;On Time;3;6;3086;Bad
497;42;5913;13341;19772;Late;5;4;3334;Bad
498;57;4164;4352;10761;On Time;1;12;3445;Good
499;62;4120;11565;12456;On Time;4;14;1941;Good
500;18;4070;13337;18267;On Time;2;7;4388;Good
501;33;3636;1027;18357;On Time;4;2;2337;Bad
502;56;7526;4393;11606;Late;1;2;3071;Bad
503;22;6263;14440;18057;On Time;2;4;2061;Good
504;39;5034;14380;10282;On Time;5;3;2797;Good
505;46;7026;2257;17405;On Time;2;2;3536;Good
506;20;2731;13975;14868;On Time;2;6;3312;Bad
507;29;3003;10476;8077;On Time;1;14;2463;Bad
